resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
KANE-RI-KASA-KAPU,普通瓷砖,Abstract Material,General,平方米,30.05,26.58,35.95,26.58,2,CNY,2397.55,78.1667,54,22,建筑工程,装修工程,饰面工程,人造瓷砖表面铺装
DXME-MEPU-KALI_KAMEME,自卸式水泥运输车，罐体容积13立方米,Equipment,General,台时,358.79,358.79,358.79,358.79,1,CNY,571.4,1.5926,54,54,建筑工程,钻孔,用管子加固井眼、取出管子、自由下放或从井眼提升管子,柱式钻井中的导管安装
KAVO-TO-KATO-KASA_KAKAMETO,低碳镀锌钢丝，用途多样，直径1.6毫米,Material,General,吨,11865.42,11865.42,11865.42,11865.42,1,CNY,206.97,0.0158,54,54,建筑工程,混凝土和钢筋混凝土整体结构,在储存设施中执行其他工作,采用滑模施工法建造高度达90米的冷却塔壳体
KAME-LI-KAPU-MEME,五金制品,Abstract Material,General,套,15.7,11.65,27.25,11.65,2,CNY,854.12,38.5,54,52,建筑工程,木结构,木结构,屋顶覆盖结构、椽条
DXME-MELI-KAPU_RIKARI,外部焊接系统，带两个双弧焊头，焊接速度高达1.54米/分钟，焊接电流高达290安培,Equipment,General,台时,689.58,689.58,689.58,689.58,1,CNY,81556.81,118.2704,54,54,建筑工程,干线和工业管道,在正常条件下管线上的管道组装与焊接,管线自动对接焊接
KASA-ME-KALI-METO,面板,Abstract Material,General,件,3745.8,3745.8,3745.8,3745.8,1,CNY,15698.39,4.1909,54,54,建筑工程,预制混凝土和钢筋混凝土结构,生产建筑与设施,围栏、大门和门扉
RITO-ME-KARI-KAVO,钢制燃气管道管件,Abstract Material,General,件,1253.81,1253.81,1253.81,1253.81,1,CNY,1253.81,1.0,54,30,建筑工程,供热与燃气管道——外部管网,城镇及村庄燃气管道,在现役钢制天然气管道上进行带气切入
DXME-MELI-KAPU_RIKAME,外部焊接系统，配备两个单弧焊头，焊接速度高达1.52米/分钟，焊接电流高达290安培,Equipment,General,台时,377.29,377.29,377.29,377.29,1,CNY,7984.67,21.1633,54,54,建筑工程,干线和工业管道,在正常条件下管线上的管道组装与焊接,管线自动对接焊接
RIRI-RI-KARI-KALI,钢制预制离心混凝土输电塔结构,Abstract Material,General,吨,26290.83,23304.88,65543.66,23304.88,3,CNY,27780.35,1.0273,54,54,建筑工程,输电线路,35-1150千伏架空输电线路,35-500千伏离心式钢筋混凝土电杆
KAME-LI-KAVO-KARI,表面活性剂添加剂,Abstract Material,General,千克,46783.95,34623.02,47499.29,47499.29,2,CNY,1548761.45,32.6067,54,54,建筑工程,混凝土和钢筋混凝土整体结构,在库存细板模板中搭建结构,采用库存小型模板搭建整体式楼梯平台
KAME-RI-KAME-KAME_MEKARINE,石油沥青道路用 BND 90/130,Material,General,吨,3920.1,3920.1,3920.1,3920.1,1,CNY,171.44,0.0437,54,54,建筑工程,公路,基础与覆盖层的建造,硬质路面
DXME-KAME-KASA_METONE,电力消耗：171.6千瓦时/小时,Electricity,Electricity,机器运行时间,115.29,115.29,115.29,115.29,1,CNY,446.97,3.877,54,54,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机开挖土方并装载至自卸卡车
RITO-SA-KAME-KAVO_KAKATOSA,电焊直缝和螺旋焊缝钢管，强度等级K38，外径630毫米，壁厚10毫米,Material,General,米,1733.12,1733.12,1733.12,1733.12,1,CNY,9091.43,5.2457,54,54,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
RITO-TO-KAME-KARI,钢套管,Abstract Material,General,米,362.93,362.93,362.93,362.93,1,CNY,36.66,0.101,54,54,建筑工程,钻孔,钻井作业,其他钻井类型
KAME-ME-KAME-KADX_KAKARITO,通用石棉线，直径2.0-2.5毫米,Material,General,吨,115409.96,115409.96,115409.96,115409.96,1,CNY,42430.14,0.1907,54,54,设备安装,破碎、研磨、选矿和烧结设备,烧结设备,烧结机
RISA-RI-KAME-KANE_MEKAMELI,用于将弦线固定在接触线上的青铜夹，尺寸为47×38×28毫米,Material,General,件,51.05,51.05,51.05,51.05,1,CNY,4636.95,90.8376,54,54,设备安装,铁路运输信号、集中、联锁及接触网设备,铁路运输现有接触网改造与大修工程,现有接触网改造与大修工程，用于组织时速超过160公里/至250公里/小时
KAME-RI-KAME-KAME_MEKARIRI,石油沥青道路用 BND 60/90,Material,General,吨,3982.05,3982.05,3982.05,3982.05,1,CNY,522.16,0.1311,54,54,建筑工程,隧道和地铁,轨道装置,隧道轨道安装
DXME-RIME-MENE_KAKAME,电力：消耗量 1.58 千瓦时/机器小时,Electricity,Electricity,机器运行时间,1.06,1.06,1.06,1.06,1,CNY,0.86,0.8062,53,53,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
KAME-LI-KANE-MERI_KAKAKAVO,PVC绝缘胶带，单面粘性层，用于电气安装和维修工作，颜色为蓝色，宽度15毫米，厚度0.2毫米,Material,General,米,0.11,0.11,0.11,0.11,1,CNY,4.66,43.3279,53,53,设备安装,电气设备,电力输送与电网,室外电照明
KASA-RI-KARI-RIPU,柔性混凝土板,Abstract Material,General,平方米,358.87,3.33,3469.91,3.33,3,CNY,36828.0,21.1294,53,53,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,土方工程边坡加固
MELI-TO-KARI-MEDX,通用火泥制品,Abstract Material,General,吨,3413.9,3413.9,3413.9,3413.9,1,CNY,5825.77,1.7065,53,45,建筑工程,燃气供应——室内设备,防爆阀安装,
DXME-MEVO-KAME_KAKARI,内燃机驱动的移动式螺杆压缩机，压力高达1.3兆帕（13大气压），产能高达12立方米/分钟,Equipment,General,台时,138.0,138.0,138.0,138.0,1,CNY,1796.51,13.0185,53,53,建筑工程,桩基工程、沉井、地基加固,桩基工程,海上浮动平台桩基施工
DXME-KAME-KATO_KARIKA,拖挂式刮土机（配履带式拖拉机），铲斗容量3.0立方米,Equipment,General,台时,236.51,236.51,236.51,236.51,1,CNY,4287.58,18.1287,53,53,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,刮土机开挖
KAVO-PU-KARI-KASA,钢筋网,Abstract Material,General,吨,8302.85,8302.85,8302.85,8302.85,1,CNY,404487.11,48.7166,53,53,建筑工程,桩基工程、沉井、地基加固,沉井工程,建造整体式钢筋混凝土沉井的墙体和刀片结构
PU_MEKAKA_KANELI,人员：3人·小时/机械·小时,Operator,Operators,机器运行时间,455.17,192.99,578.98,578.98,2,CNY,2249.49,4.594,53,53,建筑工程,铁路,1520毫米轨距铁路轨道上部结构,更换道岔转辙器
KAME-LI-MESA-MEPU_KAKADXRI,自攻螺钉，钢制氧化处理，沉头十字槽，尖头，直径6毫米，长度90毫米,Material,General,千克,17.89,17.89,17.89,17.89,1,CNY,459.65,25.6915,53,53,建筑工程,混凝土和钢筋混凝土整体结构,其他作业,在施工现场制造可拆卸式木制模板
MEME-ME-KARI-KANE_KAKAKAME,圆木（原木）针叶树种（松木、云杉）未去皮，用于桩基，长度4.5-13米，直径22-34厘米，I-III级,Material,General,立方米,1153.64,1153.64,1153.64,1153.64,1,CNY,2166.65,1.8781,53,53,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
KAME-LI-MESA-MEKA_KAKANENE,SK-1型钢制行走卡扣,Material,General,千克,19.18,19.18,19.18,19.18,1,CNY,312.84,16.3076,53,53,建筑工程,供水管道——室外管网,供水井,安装由预制钢筋混凝土构件组成的矩形井
MELI-PU-KATO-KAME_KAKAMERI,耐火铝硅酸盐火泥，型号MSH-42,Material,General,吨,7769.35,7769.35,7769.35,7769.35,1,CNY,1303.49,0.1678,53,53,建筑工程,工业炉与烟囱,高炉砌筑,高炉砌筑
DXME-KAME-KATO_KARITO,拖挂式刮土机（配履带式拖拉机），铲斗容量8.0立方米,Equipment,General,台时,638.14,638.14,638.14,638.14,1,CNY,7381.8,11.5677,53,53,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,刮土机开挖
DXME-RIME-MENE_KAKAME,组合式电动剪板机，额定力630千牛，功率5千瓦,Equipment,General,台时,7.72,7.72,7.72,7.72,1,CNY,6.23,0.8062,53,53,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
KAME-LI-KANE-KAME_KAKAPURI,用于50x30000毫米导轨型材的弹性自粘带,Material,General,米,1.05,1.05,1.05,1.05,1,CNY,165.12,157.0677,53,53,建筑工程,木结构,隔墙、墙面饰面、石膏板吊顶,采用单层金属框架和双面单层覆层的石膏板隔断安装
DXME-RIME-RIRI_PUPUTO,电力：耗电量 0.25 千瓦时/机器小时,Electricity,Electricity,机器运行时间,0.17,0.17,0.17,0.17,1,CNY,0.29,1.7374,53,53,建筑工程,临时性可拆卸建筑与构筑物,临时建筑和设施内部工程网络的安装,临时住宅及公共建筑供暖系统安装
KALI-RI-KANE-KATO,角形导轨型材,Abstract Material,General,米,968.38,26.42,12502.74,26.42,3,CNY,4387.57,125.8886,53,45,建筑工程,建筑金属结构,各类工程,表面饰面、焊接作业、螺栓安装及其他作业
DXME-RIME-RIRI_PUPUTO,用于制造绷带、隔膜、搭扣的通用机电机床，功率0.75千瓦,Equipment,General,台时,4.22,4.22,4.22,4.22,1,CNY,7.33,1.7374,53,53,建筑工程,临时性可拆卸建筑与构筑物,临时建筑和设施内部工程网络的安装,临时住宅及公共建筑供暖系统安装
DXME-RIKA-KADX_KAKARI,非自航浮式起重机，16吨,Equipment,General,台时,1038.85,1038.85,1038.85,1038.85,1,CNY,12053.16,11.6025,53,53,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
RISA-ME-KAPU-KAPU_KAKAKASA,轨道螺栓用于固定轨道，直径M22，长度135毫米、140毫米,Material,General,吨,24761.15,24761.15,24761.15,24761.15,1,CNY,36.95,0.0015,53,53,建筑工程,采矿顶板作业,单斗挖掘机开挖土方,挖掘机开挖土方并装载至铁路运输工具
DXME-MEKA-MEKA_KAMEPU,用于直径为1200毫米管道的液压内定心器,Equipment,General,台时,30.42,30.42,30.42,30.42,1,CNY,1486.12,48.8457,53,53,建筑工程,干线和工业管道,在管道焊接基地进行管道组装与焊接,基于SST-PAU型管道的焊接
DXME-MELI-KATO_KAPUTO,用于焊接接头热处理的电加热装置，功率38kVA,Equipment,General,台时,26.75,26.75,26.75,26.75,1,CNY,1575.89,58.91,52,52,设备安装,工艺管道,管道安装相关各类作业,管道焊接接头的热处理
DXME-KASA-MERI_KAKAME,轨道行走式龙门起重机，起重能力50-100吨,Equipment,General,台时,1065.37,1065.37,1065.37,1065.37,1,CNY,23470.69,22.0305,52,52,建筑工程,混凝土和钢筋混凝土整体结构,核电站建筑结构,VVER-1000反应堆核电站建筑预制与现浇组合式钢筋混凝土墙体及楼板的建造
DXME-KADX-MERI_KASAME,道砟捣固机,Equipment,General,台时,1.46,1.46,1.46,1.46,1,CNY,18.22,12.5175,52,52,建筑工程,建筑金属结构,建筑物和构筑物的结构构件,支撑板、立柱、起重机梁、起重机梁-檩条桁架、起重机轨道和悬挂轨道
DXME-KADX-MERI_KASAME,电力消耗：0.69千瓦时/小时,Electricity,Electricity,机器运行时间,0.47,0.47,0.47,0.47,1,CNY,5.82,12.5175,52,52,建筑工程,建筑金属结构,建筑物和构筑物的结构构件,支撑板、立柱、起重机梁、起重机梁-檩条桁架、起重机轨道和悬挂轨道
DXME-KASA-KAPU_KATOME,电力：消耗量 2.31 千瓦时/机器小时,Electricity,Electricity,机器运行时间,1.55,1.55,1.55,1.55,1,CNY,10.91,7.0277,52,52,建筑工程,工业炉与烟囱,玻璃熔窑上层结构砌筑,玻璃熔窑浴缸上部结构砌筑
DXME-KASA-KAPU_KATOME,悬挂式电动起重机（龙门起重机），起重能力3.2吨,Equipment,General,台时,16.21,16.21,16.21,16.21,1,CNY,113.9,7.0277,52,52,建筑工程,工业炉与烟囱,玻璃熔窑上层结构砌筑,玻璃熔窑浴缸上部结构砌筑
DXME-KATO-KANE_KAMETO,内燃机驱动的充气轮胎运输装卸机，载重能力高达10吨,Equipment,General,台时,648.02,648.02,648.02,648.02,1,CNY,4280.15,6.605,52,52,建筑工程,隧道掘进工程,常规方式进行的隧道工程,水平巷道及其连接巷道，采用爆破方式掘进
DXME-KAME-KAME_KAPULI,推土机，功率340千瓦（450马力）,Equipment,General,台时,1085.27,1085.27,1085.27,1085.27,1,CNY,4963.85,4.5738,52,52,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,为天然气和石油产品的主干管和工业管道挖掘和回填沟渠
DXME-KATO-KANE_KARIVO,单抓斗井筒装载机，井筒最终深度达300米,Equipment,General,台时,1637.2,1637.2,1637.2,1637.2,1,CNY,32023.02,19.5596,52,52,建筑工程,隧道掘进工程,常规方式进行的隧道工程,垂直井筒、探坑及其井口的穿越
MERI-RI-KALI-KAPU,泡沫橡胶、聚乙烯管,Abstract Material,General,米,141.02,93.44,185.08,185.08,2,CNY,8154.33,44.2593,52,44,建筑工程,通风与空调,空调,空调和分体式空调系统的安装
KAVO-TO-KATO-KAPU_KAKASAME,黑色钢丝，直径6.0-6.3毫米,Material,General,吨,10692.31,10692.31,10692.31,10692.31,1,CNY,48.42,0.0043,52,52,建筑工程,干线和工业管道,管道配重,木条管道衬砌
DXME-MESA-KAME_KAMEME,拖拉机挂车，载重能力达20吨,Equipment,General,台时,18.62,18.62,18.62,18.62,1,CNY,315.23,16.9342,52,52,建筑工程,公路,以粘结材料加固的土基和覆盖层,用无机粘结材料加固的土壤基础和覆盖层
KARI-RI-KARI-KAME,过滤材料,Abstract Material,General,立方米,67.6,67.6,67.6,67.6,1,CNY,2462.56,36.4286,52,52,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水利工程中的土壤开发与排水系统建设
RISA-ME-KARI-KAME_KAKATOTO,铁路用钢筋混凝土预应力轨枕,Material,General,立方米,3924.59,3924.59,3924.59,3924.59,1,CNY,800.92,0.2041,52,52,建筑工程,采矿顶板作业,单斗挖掘机开挖土方,挖掘机开挖土方并装载至铁路运输工具
KATO-RI-KAME-KAPU_KAKAKARI,普通建筑用波佐兰水泥 CEM IV 32.5N,Material,General,吨,1406.24,1406.24,1406.24,1406.24,1,CNY,149.31,0.1062,52,52,建筑工程,装修工程,饰面工程,人造瓷砖表面铺装
DXME-KASA-MERI_KAKAME,电力：消耗量 69 千瓦时/小时,Electricity,Electricity,机器运行时间,46.36,46.36,46.36,46.36,1,CNY,1021.27,22.0305,52,52,建筑工程,混凝土和钢筋混凝土整体结构,核电站建筑结构,VVER-1000反应堆核电站建筑预制与现浇组合式钢筋混凝土墙体及楼板的建造
MEPU-PU-KAPU-KADX_KAKAMENE,搪瓷KhV-124，彩色,Material,General,吨,25743.1,25743.1,25743.1,25743.1,1,CNY,59.02,0.0011,52,52,建筑工程,建筑结构和设备防腐保护,涂料材料覆盖,涂刷已打底的混凝土和抹灰表面
PU_MEKAKA_KALINE,人员：5人·时/机械·时,Operator,Operators,机器运行时间,377.85,341.12,477.56,341.12,2,CNY,2898.86,7.8929,52,52,建筑工程,铁路,1520毫米轨距铁路轨道上部结构,更换道岔转辙器
DXME-MELI-KATO_KAPUTO,电力消耗：10.03千瓦时/机器小时,Electricity,Electricity,机器运行时间,6.74,6.74,6.74,6.74,1,CNY,397.06,58.91,52,52,设备安装,工艺管道,管道安装相关各类作业,管道焊接接头的热处理
DXME-RIKA-KADX_KAMEKA,浮式起重机在开放式锚地作业，自走式，100吨,Equipment,General,台时,5000.02,5000.02,5000.02,5000.02,1,CNY,22536.62,4.5073,52,52,建筑工程,桩基工程、沉井、地基加固,桩基工程,海上浮动平台桩基施工
KAME-LI-KALI-RIDX_KARISAME,PVC真空软管,Material,General,米,16.94,16.94,16.94,16.94,1,CNY,7.74,0.4569,52,52,建筑工程,建筑金属结构,核电站结构,核电站金属结构安装
DXME-MEDX-MEKA_KATOME,液压泵站用于驱动液压千斤顶，压力高达10兆帕,Equipment,General,台时,5.59,5.59,5.59,5.59,1,CNY,112.3,20.0951,51,51,建筑工程,桩基工程、沉井、地基加固,土壤加固,采用土锚杆注浆锚固法（AI）加固基坑壁，锚杆计算抗拉承载力达42吨
RITO-VO-KATO-KASA,钢制异形件,Abstract Material,General,件,4.54,4.54,4.54,4.54,1,CNY,15.4,3.3952,51,51,建筑工程,室内管道,钢管管道,镀锌和未镀锌水气管道钢制管道元件制造及组件组装
DXME-MEDX-MEKA_KATOME,电力：消耗量 1.82 千瓦·时/机器小时,Electricity,Electricity,机器运行时间,1.22,1.22,1.22,1.22,1,CNY,24.51,20.0951,51,51,建筑工程,桩基工程、沉井、地基加固,土壤加固,采用土锚杆注浆锚固法（AI）加固基坑壁，锚杆计算抗拉承载力达42吨
MEPU-RI-KAPU-KATO_KAKAMESA,ED-20环氧树脂,Material,General,吨,39573.47,39573.47,39573.47,39573.47,1,CNY,1798.73,0.0365,51,51,建筑工程,地板,地板,5毫米厚无缝覆盖层的施工
KASA-ME-KAME-KAVO,井（预制混凝土结构）,Abstract Material,General,立方米,2676.85,2653.34,2893.13,2653.34,2,CNY,1904.76,0.7038,51,50,建筑工程,公路,排水和泄洪装置,采用集水井建造车行道排水设施
RISA-ME-KATO-KANE_KAKAMERI,双圈弹簧轨道垫圈，孔径M25,Material,General,吨,17981.27,17981.27,17981.27,17981.27,1,CNY,19988.02,1.1116,51,51,建筑工程,铁路,1520毫米轨距铁路轨道上部结构,轨道铺设与拆卸
MEVO-SA-KAVO-KAPU,地毯,Abstract Material,General,件,653.11,653.11,653.11,653.11,1,CNY,653.11,1.0,51,51,建筑工程,供水管道——室外管网,供水井,轨道式取水龙头安装
KAME-LI-MESA-KATO_KAKAMERI,六角头钢制螺栓，配有六角螺母和扁平圆垫圈，螺纹直径 M10，螺栓长度 16-160 毫米,Material,General,吨,20914.97,20914.97,20914.97,20914.97,1,CNY,1412.37,0.0662,51,51,建筑工程,钻爆作业,爆炸区域的掩蔽及现行铁路轨道上的钻爆作业,为保护设施而掩蔽爆炸区域
DXME-MEKA-KAME_KAKAPU,填充加压装置，流量达25立方米/小时,Equipment,General,台时,117.94,117.94,117.94,117.94,1,CNY,2353.95,19.9584,51,51,建筑工程,桩基工程、沉井、地基加固,土壤加固,冻结柱顶盖
KAME-LI-MEME-KALI_KARIPUPU,用于焊接合金高强度和耐热钢的焊条 TsU-5，直径 2.5 毫米,Material,General,千克,27.75,27.75,27.75,27.75,1,CNY,71.44,2.5746,50,50,设备安装,热力设备,蒸汽和热水固定锅炉,固定式蒸汽锅炉元件
RITO-TO-KAME-KAPU_KAKALIME,D级无缝套管钢，带短三角螺纹，外径377毫米，壁厚9-12毫米,Material,General,吨,15845.96,15845.96,15845.96,15845.96,1,CNY,81.53,0.0051,50,50,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
DXME-RIME-MEDX_KARIME,电力：消耗量 0.99 千瓦·时/机器·小时,Electricity,Electricity,机器运行时间,0.67,0.67,0.67,0.67,1,CNY,1.43,2.1468,50,50,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
MEKA-TO-KARI-KATO_KAKARIVO,低砷锡铅焊料，品牌POSSu 61-0.5,Material,General,千克,402.19,402.19,402.19,402.19,1,CNY,3.92,0.0097,50,50,设备安装,通信设备,通信线路,城市电缆通信线路
RITO-TO-KAME-KALI_KAKAKARI,K级加重钻杆，UBT型，外径89毫米，壁厚16毫米,Material,General,米,761.2,761.2,761.2,761.2,1,CNY,230.87,0.3033,50,50,建筑工程,钻孔,钻井作业,旋转钻探
RITO-TO-KAME-KANE_KAKAKAPU,D组钢制钻杆，内端带台阶，配有接头，外径89毫米，壁厚7毫米,Material,General,米,320.92,320.92,320.92,320.92,1,CNY,1788.36,5.5727,50,50,建筑工程,钻孔,钻井作业,旋转钻探
DXME-KATO-MEME_KAKAPU,露天作业用过渡安装台车,Equipment,General,台时,4.66,4.66,4.66,4.66,1,CNY,234.64,50.329,50,50,建筑工程,隧道和地铁,轨道装置,隧道轨道安装
KAME-LI-MESA-MEPU_KATOKAPU,镀锌钢制自攻螺钉，半圆头十字槽，尖头，直径4毫米，长度12毫米,Material,General,吨,44388.65,44388.65,44388.65,44388.65,1,CNY,57.32,0.0006,50,50,建筑工程,地板,地板,组装式夹层地板系统安装（刨花板面板）
KAVO-PU-KATO-KATO_KAKATOPU,热轧周期性截面钢筋，A-III级，直径16-18毫米,Material,General,吨,7314.45,7314.45,7314.45,7314.45,1,CNY,3827.76,0.5233,50,50,建筑工程,混凝土和钢筋混凝土整体结构,在固定模板中建造结构（用桶输送混凝土）,钢筋混凝土墙体的施工
RIME-RI-KAME-KARI_KAMEPUME,M 4型架空输电线路用非绝缘导线,Material,General,吨,149664.88,149664.88,149664.88,149664.88,1,CNY,373.85,0.0024,50,50,设备安装,电气设备,配电设备和变电站,3-20千伏封闭式配电设备
RITO-VO-KAPU-MERI,三通,Abstract Material,General,件,2451.67,2451.67,2451.67,2451.67,1,CNY,22947.64,9.36,50,50,建筑工程,供水管道——室外管网,阀门安装,管件
RITO-SA-KAME-KAVO_KAKAPUTO,直缝和螺旋缝电焊钢管，强度等级K38，外径720毫米，壁厚10毫米,Material,General,米,2248.85,2248.85,2248.85,2248.85,1,CNY,12662.35,5.6306,50,50,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
DXME-KASA-KAME_KAMENE,电力：耗电量2.49千瓦时/机器小时,Electricity,Electricity,机器运行时间,1.68,1.68,1.68,1.68,1,CNY,22.0,13.1306,50,50,建筑工程,混凝土和钢筋混凝土整体结构,采用不同类型模板建造住宅和公共建筑的整体结构,框架梁式预制整体楼板的施工
KASA-ME-KATO-KALI,矩形截面立柱,Abstract Material,General,件,6146.21,6146.21,6146.21,6146.21,1,CNY,614645.11,100.004,50,50,建筑工程,预制混凝土和钢筋混凝土结构,生产建筑与设施,柱子和柱头
DXME-KASA-KAME_KAMENE,塔式起重机，起重能力5吨,Equipment,General,台时,48.62,48.62,48.62,48.62,1,CNY,638.43,13.1306,50,50,建筑工程,混凝土和钢筋混凝土整体结构,采用不同类型模板建造住宅和公共建筑的整体结构,框架梁式预制整体楼板的施工
DXME-RIME-KARI_SAKARI,内燃机高压清洗机，流量高达8升/分钟，压力16兆帕,Equipment,General,台时,7.64,7.64,7.64,7.64,1,CNY,13.33,1.7448,50,50,建筑工程,桩基工程、沉井、地基加固,土壤加固,粘土溶液下沟槽的设置
MEKA-TO-KAME-KANE_KAKAKARI,圆形铅丝，直径11毫米,Material,General,千克,28.86,28.86,28.86,28.86,1,CNY,59.51,2.0619,50,50,建筑工程,隧道和地铁,封闭式作业方式,防水装置
DXME-RIME-MEDX_KARIME,钢筋弯曲机,Equipment,General,台时,3.86,3.86,3.86,3.86,1,CNY,8.29,2.1468,50,50,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
RITO-ME-KAME-KARI,P形补偿器,Abstract Material,General,件,3201.61,3201.61,3201.61,3201.61,1,CNY,3201.61,1.0,50,50,建筑工程,供热与燃气管道——外部管网,供热——室外管网,补偿器安装
ME_MEKAKA_SAVO,平均工作负荷 5.8,Labor,Labor,手表,112.47,112.47,112.47,112.47,1,CNY,44818.94,398.4994,50,50,建筑工程,地板,地板,耐酸耐热混凝土覆盖层施工
KAME-LI-KALI-METO_KAKAKAME,耐酸安山岩粉，A级,Material,General,吨,2153.05,2153.05,2153.05,2153.05,1,CNY,122.4,0.0568,50,50,建筑工程,地板,地板,防水层的设置
KAPU-TO-KAME-MERI_KAKAKARI,砌筑砂浆，水泥石灰砂浆，M25,Material,General,立方米,654.53,654.53,654.53,654.53,1,CNY,630.72,0.9636,49,49,建筑工程,砖砌体和砌块结构,轻质砌块与石材结构,未加固石灰石砌筑墙体和隔墙
RISA-ME-KAME-KASA,浸渍枕木,Abstract Material,General,件,203.84,203.84,203.84,203.84,1,CNY,84959.06,416.8,49,49,建筑工程,建筑金属结构,建筑物和构筑物的结构构件,支撑板、立柱、起重机梁、起重机梁-檩条桁架、起重机轨道和悬挂轨道
DXME-KAVO-KASA_KADXME,用于填缝的水泥铺设机,Equipment,General,台时,1.24,1.24,1.24,1.24,1,CNY,21.03,16.9261,49,49,建筑工程,隧道和地铁,封闭式作业方式,支护装置
RITO-VO-KATO-KAPU,补偿接头,Abstract Material,General,件,869.63,597.59,5040.89,597.59,2,CNY,42893.9,29.3529,49,49,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,降水
DXME-KAVO-KASA_KASAME,轨道式混凝土铺设设备，用于水泥混凝土路面修整,Equipment,General,台时,159.74,159.74,159.74,159.74,1,CNY,1447.86,9.0639,49,49,建筑工程,公路,基础与覆盖层的建造,硬质路面
KAME-LI-MEDX-KADX_KAKARIPU,橡胶织物压力软管，水压1MPa（10千克力/平方厘米），内径32毫米,Material,General,米,53.07,53.07,53.07,53.07,1,CNY,1369.71,25.8095,49,49,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,降水
KAME-LI-MESA-KATO_MEKAKAPU,钢结构安装螺栓，带螺母和垫圈，直径6-8毫米，长度55-80毫米,Material,General,千克,29.62,29.62,29.62,29.62,1,CNY,183.33,6.1894,49,49,建筑工程,桩基工程、沉井、地基加固,土壤加固,采用四股钢绞线锚杆加固基坑壁，钻孔时可施加高达61.7吨的预应力
DXME-KAVO-KASA_KASAPU,轨道式混凝土铺设设备套件，用于水泥混凝土分配,Equipment,General,台时,107.63,107.63,107.63,107.63,1,CNY,975.51,9.0639,49,49,建筑工程,公路,基础与覆盖层的建造,硬质路面
DXME-MEPU-KATO_KAKARI,自卸卡车，载重量达10吨,Equipment,General,台时,134.13,134.13,134.13,134.13,1,CNY,99.15,0.7392,49,49,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
RISA-ME-KANE-MEDX_KAKASAME,枕下垫板用橡胶垫片，型号TsP-328,Material,General,件,7.58,7.58,7.58,7.58,1,CNY,262099.18,34562.4082,49,49,建筑工程,铁路,1520毫米轨距铁路轨道上部结构,轨道铺设与拆卸
DXME-MERI-KARI_KAKARI,带拖拉机的除草机-收割机，功率79千瓦（108马力）,Equipment,General,台时,176.63,176.63,176.63,176.63,1,CNY,1367.9,7.7446,48,48,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,与伐木、场地及路线清理相关的准备工作
KAME-LI-KARI-MEKA_KAKAKASA,卷纸,Material,General,吨,7564.82,7564.82,7564.82,7564.82,1,CNY,53.62,0.0071,48,48,建筑工程,装修工程,饰面工程,天然石材与线性造型石材表面饰面
RISA-ME-KASA-KAME_KAKAKARI,双头轨垫，型号2R65,Material,General,件,620.51,620.51,620.51,620.51,1,CNY,116126.49,187.146,48,48,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,铁路和公路的挖沟与填筑
DXME-KANE-KAVO_KAKATO,电动葫芦，起重能力2吨,Equipment,General,台时,1.53,1.53,1.53,1.53,1,CNY,49.8,32.4744,48,48,建筑工程,混凝土和钢筋混凝土整体结构,其他作业,施工现场钢筋空间框架的制作
DXME-MEVO-KAME_KAKANE,内燃机驱动的汽车底盘式压缩机，压力高达21.57兆帕（220大气压），产能高达5立方米/分钟,Equipment,General,台时,478.84,478.84,478.84,478.84,1,CNY,7705.11,16.0912,48,48,建筑工程,供热与燃气管道——外部管网,城镇及村庄燃气管道,聚乙烯管道的组装与焊接
